First name,Surname,ID number,Institution,Department,Email address,S1 (Real),S2 (Real),S3 (Real),S4 (Real),S5 (Real),S6 (Real),S7 (Real),S8 (Real),S9 (Real),S10 (Real),S11 (Real),S12 (Real),S13 (Real),S14 (Real),S15 (Real),S16 (Real),S17 (Real),S18 (Real),S19 (Real),S20 (Real),S21 (Real),S22 (Real),S23 (Real),S24 (Real),S25 (Real),S26 (Real),S27 (Real),S28 (Real),S29 (Real),S30 (Real),S31 (Real),S32 (Real),S33 (Real),S34 (Real),S35 (Real),S36 (Real),S37 (Real),S38 (Real),S39 (Real),Last downloaded from this course
John,Doe,2222222,,,abc@abc.com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,2,2,2,2,2,2,-,-,2,2,2,1,2,2,1,1,2,1,1,1,1558967425
Cole,Miner,1111111,,,abc@abc.com,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,-,-,2,-,2,2,-,1,2,2,2,1,1,1,1,1,1,1,2,1,-,1,1558967425
Erik,Erickson,3333333,,,abc@abc.com,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,-,2,1,-,2,2,2,2,-,-,-,-,2,1,1,1,2,2,-,-,2,-,1,1,1558967425
Sam,Malone,4444444,,,abc@abc.com,2,2,2,2,-,-,2,2,2,2,2,2,2,2,2,1,2,2,-,2,1,2,2,2,-,-,-,2,2,1,2,1,-,1,1,2,1,2,1,1558967425
Ty,Cobb,3673678,,,abc@abc.com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,-,2,1,-,1,2,-,1,2,1,-,1,2,1,-,1,1558967425
Babe,Ruth,7147144,,,abc@abc.com,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,-,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1558967425
Nadia,Comenichi,1010101,,,abc@abc.com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1558967425
Babe,Diedrickson,1234567,,,abc@abc.com,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,-,-,2,2,2,2,1,-,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1558967425
Joseph,Stalin,6666666,,,abc@abc.com,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,-,2,-,-,2,1,2,2,-,-,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1558967425
Red,Grange,7777777,,,abc@abc.com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-,1,2,2,1,1,1,1,1,1,2,1,1,1,1558967425
Jennifer,Lopez,8888888,,,abc@abc.com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,2,2,2,2,2,2,-,-,2,2,1,-,1,1,1,1,2,1,1,1,1558967425
Feliz,Navidad,9999999,,,abc@abc.com,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,2,-,-,2,2,2,2,2,2,-,-,2,2,1,2,2,2,1,1,2,1,1,1,1558967425
